NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
Drogarias Pacheco;Av. Paulo de Frontin, 769 - Aterrado, Volta Redonda - RJ, 27215-580, Brasil;-44.0922759;-22.50499869999999;OPERATIONAL;4;4
DROGARIAS PACHECO;Av. Joaquim Leite, 408 - E 410 - Centro, Barra Mansa - RJ, 27330-040, Brasil;-44.1714657;-22.5448394;OPERATIONAL;4.1;27
DROGARIAS PACHECO;R. Abdo Felipe, 330 - LOTE 197 - Ano Bom, Barra Mansa - RJ, 27323-000, Brasil;-44.16926799999999;-22.540616;OPERATIONAL;3;17
DROGARIAS PACHECO;Av. Rui Barbosa, 296 - Centro, Macaé - RJ, 27910-361, Brasil;-41.77835;-22.3727244;OPERATIONAL;3.9;25
Drogarias Pacheco;Av. Rui Barbosa, 653 - 653 A - Centro, Macaé - RJ, 27910-361, Brasil;-41.77725840000001;-22.3758311;OPERATIONAL;3.6;29
Drogarias Pacheco;R. Maria Francisca Borges Reid, S/N - Glória, Macaé - RJ, 27933-260, Brasil;-41.7973112;-22.4014802;OPERATIONAL;3.8;51
Drogarias Pacheco;Avenida Jane Maria Martins Figueira Lote 04 S/N - Quadra 73 - Jardim Mariléa, Rio das Ostras - RJ, 28896-013, Brasil;-41.9279217;-22.508182;OPERATIONAL;2.5;42
DROGARIAS PACHECO;Rod. Amaral Peixoto, 4879 - Centro, Rio das Ostras - RJ, 28890-000, Brasil;-41.9400689;-22.5242571;OPERATIONAL;3.5;62
Drogarias Pacheco;Av. Roberto Silveira, 74 - Centro, Maricá - RJ, 24900-445, Brasil;-42.8163134;-22.9162951;OPERATIONAL;5;3
DROGARIAS PACHECO;Av. Getúlio Vargas, 1111 - Centro, Araruama - RJ, 28970-000, Brasil;-42.333548;-22.8670877;OPERATIONAL;3.8;17
DROGARIAS PACHECO;R. Prof. Francisco Fonseca, 120 - loja A - Bacaxá, Saquarema - RJ, 28993-000, Brasil;-42.4678404;-22.8925691;OPERATIONAL;4;49
DROGARIAS PACHECO;R. Dr. Siqueira, 385 - Centro, Magé - RJ, 25900-094, Brasil;-43.0392573;-22.6558796;OPERATIONAL;3.5;4
Drogarias Pacheco;R. Dr. Siqueira, 349 - Centro, Magé - RJ, 25900-000, Brasil;-43.0394818;-22.6561917;OPERATIONAL;4.2;24
Drogarias Pacheco;Av. Simão da Motta, S/N - Centro, Magé - RJ, 25900-001, Brasil;-43.0362014;-22.6597034;OPERATIONAL;3.5;2
DROGARIAS PACHECO;Av. Dedo de Deus, 551 - PARQUE FLEIXAL, Guapimirim - RJ, 25946-280, Brasil;-42.9816384;-22.5254447;OPERATIONAL;3.6;21
DROGARIAS PACHECO;Av. Vinte e Dois de Maio, 5550 - loja E - SUBSOLO, Itaboraí - RJ, 24800-000, Brasil;-42.8588761;-22.7476032;OPERATIONAL;4.2;92
Drogarias Pacheco;Av. Teixeira e Souza, 29 - Centro, Cabo Frio - RJ, 28908-000, Brasil;-42.01884279999999;-22.8799471;OPERATIONAL;4.4;37
DROGARIAS PACHECO;Av. Nossa Sra. da Assunção, 860 - Centro, Cabo Frio - RJ, 28906-200, Brasil;-42.0170048;-22.8783044;OPERATIONAL;3.8;18
Drogarias Pacheco;Largo de Santo Antônio, 9 - loja - Centro, Cabo Frio - RJ, 28905-360, Brasil;-42.0210766;-22.8800284;OPERATIONAL;4;45
Drogarias Pacheco;RJ-106, 443 - Centro, São Gonçalo - RJ, 28880-000, Brasil;-41.9928604;-22.5909172;OPERATIONAL;3.7;23
DROGARIAS PACHECO;R DR - R. Feliciano Sodré, 19 - Centro, São Pedro da Aldeia - RJ, 28940-000, Brasil;-42.1025137;-22.8374725;OPERATIONAL;4.1;59
Drogarias Pacheco;Av. José Bento Ribeiro Dantas, 10274 - Campo de Pouso, Búzios - RJ, 28950-000, Brasil;-41.9175685;-22.7749496;OPERATIONAL;3.6;58
DROGARIAS PACHECO;AV JOSE ELIAS RABA 280 - LUC 02 E 02A - Parque das Palmeiras, Angra dos Reis - RJ, 23900-000, Brasil;-44.3018839;-22.9995283;OPERATIONAL;4.2;18
DROGARIAS PACHECO;R. do Comércio, 256 - Centro, Angra dos Reis - RJ, 23900-000, Brasil;-44.31837160000001;-23.0083218;OPERATIONAL;4.1;17
DROGARIAS PACHECO;R DO COMERCIO 71 - 75 TERREO - Centro, Angra dos Reis - RJ, 23900-560, Brasil;-44.3162391;-23.0075889;OPERATIONAL;4.3;7
Drogarias Pacheco;Estr. da Matriz, 165 - Guaratiba, Rio de Janeiro - RJ, 23026-000, Brasil;-43.63305200000001;-22.9997155;OPERATIONAL;2.1;36
Drogarias Pacheco;Estr. da Cachamorra, 489 - Campo Grande, Rio de Janeiro - RJ, 23040-151, Brasil;-43.5541874;-22.9278567;OPERATIONAL;3.7;26
DROGARIAS PACHECO;Av. Roberto Silveira, 1227 - Chácara da Saudade, Paraty - RJ, 23970-000, Brasil;-44.72273249999999;-23.2207374;OPERATIONAL;3;2
DROGARIAS PACHECO;Praça Pres. Getúlio Vargas, 70 - Centro, Nova Friburgo - RJ, 28610-170, Brasil;-42.53116370000001;-22.2811581;OPERATIONAL;2.8;71
Drogarias Pacheco;Av. Alberto Braune, 144 - Centro, Nova Friburgo - RJ, 28613-000, Brasil;-42.53172659999999;-22.2860552;OPERATIONAL;4.1;7
DROGARIAS PACHECO;AV FELICIANO SODRÉ, 575 ESQUINA COM A R NOVA FRIBURGO - VARZEA, Nova Friburgo - RJ, 25963-083, Brasil;-42.535784;-22.307969;OPERATIONAL;-;-
DROGARIAS PACHECO;Av. Delfim Moreira, 435 - Várzea, Teresópolis - RJ, 25953-230, Brasil;-42.9667426;-22.4121891;OPERATIONAL;3.1;49
Drogarias Pacheco;R. Francisco Sá, 218 - E 214 - Várzea, Teresópolis - RJ, 25953-010, Brasil;-42.9676798;-22.4106731;OPERATIONAL;4.1;14
DROGARIAS PACHECO;R. Ribeiro de Almeida, 56 - Loja 02 - Centro, Maricá - RJ, 24900-000, Brasil;-42.8177387;-22.9172855;OPERATIONAL;3.6;78
