Code;Data;Empresa;Membro;Ativo;Qnt. Inicial;Qnt. Final;Saldo
12319;jul/22;BLUE TECH SOLUTIONS EQI S.A.;Conselho Administração;Ações;114.000;117.000;3.000
25585;jul/22;CSN MINERAÇÃO S.A.;Conselho Fiscal;Ações;5.269;8.269;3.000
1120;jul/22;BCO ESTADO DE SERGIPE S.A. - BANESE;Conselho Administração;Ações;29;2.109;2.080
26786;jul/22;Senior Sistemas S.A.;Controlador;Ações;1.176.085;1.177.928;1.843
14109;jul/22;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Direto;Ações;163.547;165.322;1.775
1325;jul/22;BCO MERCANTIL DO BRASIL S.A.;Controlador;Ações;31.355.800;31.357.400;1.600
8540;jul/22;BCO MERCANTIL DO BRASIL S.A.;Direto;Ações;19.269.940;19.271.540;1.600
1309;jul/22;BCO MERCANTIL DO BRASIL S.A.;Conselho Administração;Ações;15.815.140;15.816.740;1.600
23825;jul/22;MOVIDA PARTICIPACOES SA;Controlador;Ações;228.356.865;228.358.229;1.364
25003;jul/22;MOVIDA PARTICIPACOES SA;Controlador;Ações;547;1.911;1.364
6211;jul/22;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Direto;Ações;7.500;8.800;1.300
11592;jul/22;UNIPAR CARBOCLORO S.A.;Conselho Administração;Ações;5.058.200;5.059.200;1.000
2429;jul/22;IRANI PAPEL E EMBALAGEM S.A.;Conselho Administração;Ações;979.436;980.436;1.000
22675;jul/22;HIDROVIAS DO BRASIL S.A.;Direto;Ações;274.214;275.214;1.000
1325;jul/22;MERCANTIL BRASIL FINANC S.A. C.F.I.;Conselho Administração;Ações;3.241;4.241;1.000
15636;jul/22;CIA GAS DE SAO PAULO - COMGAS;Conselho Fiscal;Ações;200;1.200;1.000
4170;jul/22;VALE S.A.;Conselho Administração;Ações;96.769;97.707;938
22179;jul/22;NEOENERGIA S.A.;Conselho Administração;Ações;30.021;30.742;721
23272;jul/22;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Conselho Administração;Ações;4.622.801;4.623.401;600
25399;jul/22;NEOGRID PARTICIPAÇÕES S.A.;Direto;Ações;2.970.624;2.971.224;600
5762;jul/22;ETERNIT S.A. - Em Recuperação Judicial;Conselho Fiscal;Ações;217.001;217.501;500
21121;jul/22;SUL AMERICA S.A.;Direto;2AMBASESTURAIS;215.264;215.751;487
1325;jul/22;BCO MERCANTIL DO BRASIL S.A.;Direto;Ações;365.300;365.700;400
8753;jul/22;METISA METALURGICA TIMBOENSE S.A.;Controlador;Ações;949.359;949.741;382
1023;jul/22;BCO BRASIL S.A.;Órgãos Técnicos ou Consultivos;Ações;15.672;15.981;309
21040;jul/22;SYN PROP & TECH S.A.;Conselho Administração;Ações;33.548.774;33.549.074;300
14524;jul/22;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Conselho Fiscal;Ações;18.887;19.187;300
25704;jul/22;BOA SAFRA SEMENTES S.A.;Direto;Ações;1.300;1.600;300
1120;jul/22;BCO ESTADO DE SERGIPE S.A. - BANESE;Conselho Fiscal;Ações;2.073;2.279;206
80187;jul/22;AURA MINERALS INC.;Conselho Administração;Ações;3.702.961;3.703.164;203
8753;jul/22;METISA METALURGICA TIMBOENSE S.A.;Controlador;Ações;2.549.109;2.549.309;200
11592;jul/22;UNIPAR CARBOCLORO S.A.;Conselho Fiscal;Ações;27.821;27.971;150
13471;jul/22;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;Conselho Administração;Ações;173.300;173.400;100
11991;jul/22;WETZEL S.A. EM RECUPERAÇÃO JUDICIAL;Conselho Administração;Ações;473;573;100
80217;jul/22;Inter & Co, Inc.;Direto;Ações;3.083.414;3.083.451;37
26786;jul/22;Senior Sistemas S.A.;Direto;Ações;3.180;3.216;36
906;jul/22;BCO BRADESCO S.A.;Direto;Ações;215.437;215.447;10
1120;jul/22;BCO ESTADO DE SERGIPE S.A. - BANESE;Conselho Administração;Ações;7;17;10
1171;jul/22;BCO ESTADO DO PARA S.A.;Conselho Administração;Ações;204;205;1
16241;jul/22;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;Conselho Administração;Ações;8;9;1
15709;jul/22;Rumo Malha Sul S.A.;Controlador;Ações;4.029.290.925.966;4.029.290.925.966;0
15709;jul/22;Rumo Malha Sul S.A.;Controlador;Ações;2.648.419.568.941;2.648.419.568.941;0
8036;jul/22;LIGHT S.A.;Controlador;Ações;489.146.367.202;489.146.367.202;0
